,Pavadinimas,Ketvirtis,Vertė
217,Šiluminės elektrinės,2016-Q3,0.293
218,Kruonio HAE,2016-Q3,0.15
219,Hidroelektrinės,2016-Q3,0.066
220,Vėjo elektrinės,2016-Q3,0.212
221,Kiti atsinaujinantys energijos ištekliai,2016-Q3,0.106
222,"     Elektrinės, kūrenamos biomase    ",2016-Q3,0.042395
223,"     Elektrinės, kūrenamos biodujomis",2016-Q3,0.027399
224,     Saulės energijos elektrinės,2016-Q3,0.024
225,     Atliekų deginimo elektrinės,2016-Q3,0.012
226,Baterijų technologijos,2016-Q3,0.0
227,Komercinis sistemos balansas (-Importas/+eksportas),2016-Q3,-2.086
228,Elektros energijos gamyba (Neto),2016-Q4,1.23
229,Šiluminės elektrinės,2016-Q4,0.425
230,Kruonio HAE,2016-Q4,0.115
231,Hidroelektrinės,2016-Q4,0.134
232,Vėjo elektrinės,2016-Q4,0.441
233,Kiti atsinaujinantys energijos ištekliai,2016-Q4,0.115
234,"     Elektrinės, kūrenamos biomase    ",2016-Q4,0.063421
235,"     Elektrinės, kūrenamos biodujomis",2016-Q4,0.031313
236,     Saulės energijos elektrinės,2016-Q4,0.005
237,     Atliekų deginimo elektrinės,2016-Q4,0.016
238,Baterijų technologijos,2016-Q4,0.0
239,Komercinis sistemos balansas (-Importas/+eksportas),2016-Q4,-2.018
240,Elektros energijos gamyba (Neto),2017-Q1,0.985
241,Šiluminės elektrinės,2017-Q1,0.221
242,Kruonio HAE,2017-Q1,0.114
243,Hidroelektrinės,2017-Q1,0.166
244,Vėjo elektrinės,2017-Q1,0.348
245,Kiti atsinaujinantys energijos ištekliai,2017-Q1,0.136
246,"     Elektrinės, kūrenamos biomase    ",2017-Q1,0.074
247,"     Elektrinės, kūrenamos biodujomis",2017-Q1,0.032
248,     Saulės energijos elektrinės,2017-Q1,0.008
249,     Atliekų deginimo elektrinės,2017-Q1,0.021
250,Baterijų technologijos,2017-Q1,0.0
251,Komercinis sistemos balansas (-Importas/+eksportas),2017-Q1,-2.251
252,Elektros energijos gamyba (Neto),2017-Q2,0.913
253,Šiluminės elektrinės,2017-Q2,0.234
254,Kruonio HAE,2017-Q2,0.129
255,Hidroelektrinės,2017-Q2,0.13
256,Vėjo elektrinės,2017-Q2,0.29
257,Kiti atsinaujinantys energijos ištekliai,2017-Q2,0.13
258,"     Elektrinės, kūrenamos biomase    ",2017-Q2,0.054
259,"     Elektrinės, kūrenamos biodujomis",2017-Q2,0.03
260,     Saulės energijos elektrinės,2017-Q2,0.029
261,     Atliekų deginimo elektrinės,2017-Q2,0.017
262,Baterijų technologijos,2017-Q2,0.0
263,Komercinis sistemos balansas (-Importas/+eksportas),2017-Q2,-2.002
264,Elektros energijos gamyba (Neto),2017-Q3,0.842
265,Šiluminės elektrinės,2017-Q3,0.17
266,Kruonio HAE,2017-Q3,0.185
267,Hidroelektrinės,2017-Q3,0.096
268,Vėjo elektrinės,2017-Q3,0.27
269,Kiti atsinaujinantys energijos ištekliai,2017-Q3,0.122
